
rm -rf ./cmake/*

04-21 14:40:21.690 352642 352642 [I] watch_file: wd: 5, mask: 0x40000200(IN_DELETE | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-21 14:40:21.691 352642 352642 [I] watch_file: wd: 5, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-21 14:40:21.692 352642 352642 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-21 14:40:21.694 352642 352642 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-21 14:40:21.695 352642 352642 [I] watch_file: wd: 5, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-21 14:40:21.696 352642 352642 [I] watch_file: wd: 5, mask: 0x40000200(IN_DELETE | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-21 14:40:21.697 352642 352642 [I] watch_file: wd: 5, mask: 0x200(IN_DELETE), cookie: 0, len: 16, name: CMakeOutput.log
04-21 14:40:21.698 352642 352642 [I] watch_file: wd: 5, mask: 0x200(IN_DELETE), cookie: 0, len: 32, name: cmake.check_cache
04-21 14:40:21.699 352642 352642 [I] watch_file: wd: 4, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-21 14:40:21.700 352642 352642 [I] watch_file: wd: 4, mask: 0x40000200(IN_DELETE | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-21 14:40:21.701 352642 352642 [I] watch_file: wd: 3, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: build
04-21 14:40:21.702 352642 352642 [I] watch_file: wd: 3, mask: 0x40000200(IN_DELETE | IN_ISDIR), cookie: 0, len: 16, name: build
04-21 14:40:21.703 352642 352642 [I] watch_file: wd: 3, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.704 352642 352642 [I] watch_file: wd: 3, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.705 352642 352642 [I] watch_file: wd: 3, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.706 352642 352642 [I] watch_file: wd: 3, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.707 352642 352642 [I] watch_file: wd: 3, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.708 352642 352642 [I] watch_file: wd: 3, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.709 352642 352642 [I] watch_file: wd: 12, mask: 0x200(IN_DELETE), cookie: 0, len: 32, name: FindJsonCpp.cmake
04-21 14:40:21.710 352642 352642 [I] watch_file: wd: 3, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.711 352642 352642 [I] watch_file: wd: 3, mask: 0x40000200(IN_DELETE | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.712 352642 352642 [I] watch_file: wd: 3, mask: 0x200(IN_DELETE), cookie: 0, len: 16, name: CMakeLists.txt
04-21 14:40:21.713 352642 352642 [I] watch_file: 
04-21 14:40:38.602 352642 352642 [I] watch_file: read length: 448
04-21 14:40:38.606 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:38.608 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:38.609 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:38.610 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:38.611 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:38.612 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:38.614 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:38.615 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:38.616 352642 352642 [I] watch_file: 
04-21 14:40:43.657 352642 352642 [I] watch_file: read length: 448
04-21 14:40:43.662 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:43.663 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:43.664 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: AB
